zonas_geografica_nombre,marca_nombre,combustible_precio,id_regional
Metropolitana,SHELL,1376.0,1
Metropolitana,SHELL,1376.0,1
Metropolitana,SHELL,1378.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1379.0,1
Metropolitana,SHELL,1380.0,1
Metropolitana,SHELL,1380.0,1
Metropolitana,SHELL,1380.0,1
Metropolitana,SHELL,1380.0,1
Metropolitana,SHELL,1380.0,1
Metropolitana,SHELL,1380.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1381.0,1
Metropolitana,SHELL,1382.0,1
Metropolitana,SHELL,1383.0,1
Metropolitana,SHELL,1384.0,1
Metropolitana,SHELL,11303.0,1
Metropolitana,COPEC,1252.0,1
Metropolitana,COPEC,1252.0,1
Metropolitana,COPEC,1253.0,1
Metropolitana,COPEC,1253.0,1
Metropolitana,COPEC,1257.0,1
Metropolitana,COPEC,1258.0,1
Metropolitana,COPEC,1258.0,1
Metropolitana,COPEC,1261.0,1
Metropolitana,COPEC,1263.0,1
Metropolitana,COPEC,1263.0,1
Metropolitana,COPEC,1264.0,1
Metropolitana,COPEC,1264.0,1
Metropolitana,COPEC,1267.0,1
Metropolitana,COPEC,1267.0,1
Metropolitana,COPEC,1268.0,1
Metropolitana,COPEC,1268.0,1
Metropolitana,COPEC,1268.0,1
Metropolitana,COPEC,1268.0,1
Metropolitana,COPEC,1268.0,1
Metropolitana,COPEC,1269.0,1
Metropolitana,COPEC,1271.0,1
Metropolitana,COPEC,1271.0,1
Metropolitana,COPEC,1272.0,1
Metropolitana,COPEC,1274.0,1
Metropolitana,COPEC,1276.0,1
Metropolitana,COPEC,1276.0,1
Metropolitana,COPEC,1276.0,1
Metropolitana,COPEC,1278.0,1
Metropolitana,COPEC,1279.0,1
Metropolitana,COPEC,1283.0,1
Metropolitana,COPEC,1284.0,1
Metropolitana,COPEC,1286.0,1
Metropolitana,COPEC,1286.0,1
Metropolitana,COPEC,1287.0,1
Metropolitana,COPEC,1287.0,1
Metropolitana,COPEC,1289.0,1
Metropolitana,COPEC,1289.0,1
Metropolitana,COPEC,1290.0,1
Metropolitana,COPEC,1292.0,1
Metropolitana,COPEC,1292.0,1
Metropolitana,COPEC,1292.0,1
Metropolitana,COPEC,1294.0,1
Metropolitana,COPEC,1297.0,1
Metropolitana,COPEC,1299.0,1
Metropolitana,COPEC,1299.0,1
Metropolitana,COPEC,1299.0,1
Metropolitana,COPEC,1299.0,1
Metropolitana,COPEC,1302.0,1
Metropolitana,COPEC,1302.0,1
Metropolitana,COPEC,1303.0,1
Metropolitana,COPEC,1304.0,1
Metropolitana,COPEC,1304.0,1
Metropolitana,COPEC,1304.0,1
Metropolitana,COPEC,1304.0,1
Metropolitana,COPEC,1304.0,1
Metropolitana,COPEC,1304.0,1
Metropolitana,COPEC,1305.0,1
Metropolitana,COPEC,1306.0,1
Metropolitana,COPEC,1307.0,1
Metropolitana,COPEC,1307.0,1
Metropolitana,COPEC,1308.0,1
Metropolitana,COPEC,1308.0,1
Metropolitana,COPEC,1308.0,1
Metropolitana,COPEC,1310.0,1
Metropolitana,COPEC,1311.0,1
Metropolitana,COPEC,1311.0,1
Metropolitana,COPEC,1312.0,1
Metropolitana,COPEC,1312.0,1
Metropolitana,COPEC,1312.0,1
Metropolitana,COPEC,1312.0,1
Metropolitana,COPEC,1313.0,1
Metropolitana,COPEC,1314.0,1
Metropolitana,COPEC,1314.0,1
Metropolitana,COPEC,1315.0,1
Metropolitana,COPEC,1315.0,1
Metropolitana,COPEC,1316.0,1
Metropolitana,COPEC,1316.0,1
Metropolitana,COPEC,1317.0,1
Metropolitana,COPEC,1318.0,1
Metropolitana,COPEC,1318.0,1
Metropolitana,COPEC,1318.0,1
Metropolitana,COPEC,1318.0,1
Metropolitana,COPEC,1318.0,1
Metropolitana,COPEC,1318.0,1
Metropolitana,COPEC,1320.0,1
Metropolitana,COPEC,1320.0,1
Metropolitana,COPEC,1320.0,1
Metropolitana,COPEC,1322.0,1
Metropolitana,COPEC,1322.0,1
